attention,seq_len,hidden_size,num_params,step_time_ms,step_std_ms,throughput,memory_mb
Softmax,256,256,3766272,24.535389430820942,0.0558299373933904,1335540.2445268463,1489.9814453125
Flash,256,256,3766272,24.601420760154724,0.14366417822564076,1331955.5939253776,1489.9794921875
Linear,256,256,3833088,29.717746563255787,0.1863982205108039,1102640.805225645,1938.3818359375
GatedDeltaNet,256,128,5100576,118.79892647266388,1.1265160962271126,275827.4083187111,5726.39794921875
Softmax,512,256,3831808,48.41969348490238,0.6176850616635854,1353498.8613762003,2907.7333984375
Flash,512,256,3831808,48.23037125170231,0.5401820819069806,1358811.8502755023,2907.7314453125
Linear,512,256,3898624,55.307394079864025,0.2422587784177149,1184941.020822023,3804.1337890625
GatedDeltaNet,512,128,5133344,232.9948091879487,0.35856001081364297,281276.65259329625,11374.58740234375
Softmax,1024,256,3962880,98.35426695644855,0.7932299667772612,1332651.8925512293,5746.6123046875
Flash,1024,256,3962880,95.47029808163643,0.6722115648636838,1372908.6703795628,5746.6103515625
Linear,1024,256,4029696,101.75880491733551,0.5608793289563159,1288065.4416733498,7539.0126953125
GatedDeltaNet,1024,128,5198880,453.07857021689415,1.2828943255705,289291.98734174133,22670.96630859375
