attention,hidden_size,num_layers,final_train_loss,final_val_loss,final_ppl,best_ppl
Softmax,256,4,2.08422484984985,2.010110294117647,7.46414055271726,7.46414055271726
Flash,256,4,2.1034628378378377,2.0307904411764706,7.620107225416126,7.620107225416126
Linear,256,4,2.3488644894894897,2.333639705882353,10.315418378274025,10.315418378274025
GatedDeltaNet,128,4,1.3610407282282282,1.3908547794117647,4.018283331299586,4.018283331299586
