-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::sigmoid         0.02%     810.587us         1.38%      49.006ms       1.225ms     115.608us         0.01%     156.275us       3.907us           0 B           0 B      20.00 MB      20.00 MB            40  
                                   CausalConv1dFunction         0.87%      31.185ms         1.21%      42.968ms     358.070us      50.761ms         2.21%      50.761ms     423.009us           0 B           0 B      20.00 GB           0 B           120  
                                 LayerNormGatedFunction         0.30%      10.837ms         1.06%      37.853ms     946.320us      38.115ms         1.66%      38.115ms     952.870us           0 B           0 B      10.04 GB           0 B            40  
                                               aten::to         0.02%     688.660us         0.99%      35.367ms      57.044us       0.000us         0.00%     794.576us       1.282us           0 B           0 B      61.35 MB           0 B           620  
                                         aten::_to_copy         0.06%       2.209ms         0.97%      34.679ms      96.330us       0.000us         0.00%     794.576us       2.207us           0 B           0 B      61.35 MB           0 B           360  
                                            aten::copy_         0.08%       2.691ms         0.86%      30.672ms      85.200us     741.561us         0.03%     794.576us       2.207us           0 B           0 B           0 B           0 B           360  
                               NativeLayerNormBackward0         0.02%     627.399us         0.74%      26.357ms     292.857us       0.000us         0.00%      41.808ms     464.528us           0 B           0 B       1.41 GB           0 B            90  
                       aten::native_layer_norm_backward         0.04%       1.380ms         0.72%      25.730ms     285.886us      41.808ms         1.82%      41.808ms     464.528us           0 B           0 B       1.41 GB           0 B            90  
                                    aten::_foreach_sqrt         0.05%       1.691ms         0.68%      24.335ms       2.433ms     444.061us         0.02%     798.818us      79.882us           0 B           0 B      98.01 MB           0 B            10  
                                              aten::exp         0.01%     527.567us         0.66%      23.421ms     585.513us      74.617us         0.00%     113.717us       2.843us           0 B           0 B      20.00 KB      20.00 KB            40  
     autograd::engine::evaluate_function: GeluBackward0         0.01%     331.460us         0.63%      22.283ms     557.071us       0.000us         0.00%       9.634ms     240.857us           0 B           0 B      -2.50 GB      -5.00 GB            40  
                                          GeluBackward0         0.01%     185.031us         0.62%      21.951ms     548.784us       0.000us         0.00%       9.634ms     240.857us           0 B           0 B       2.50 GB           0 B            40  
                                    aten::gelu_backward         0.01%     533.243us         0.61%      21.766ms     544.158us       9.634ms         0.42%       9.634ms     240.857us           0 B           0 B       2.50 GB       2.50 GB            40  
autograd::engine::evaluate_function: LayerNormGatedF...         0.02%     769.624us         0.61%      21.568ms     539.211us       0.000us         0.00%      65.868ms       1.647ms           0 B           0 B     -10.04 GB     -30.04 GB            40  
                                    aten::_foreach_div_         0.02%     788.892us         0.59%      21.109ms       2.111ms     280.745us         0.01%     505.015us      50.501us           0 B           0 B           0 B           0 B            10  
                         LayerNormGatedFunctionBackward         0.47%      16.579ms         0.58%      20.799ms     519.970us      65.492ms         2.86%      65.868ms       1.647ms           0 B           0 B      20.00 GB      -6.48 MB            40  
autograd::engine::evaluate_function: ToCopyBackward0...         0.01%     459.852us         0.52%      18.478ms     230.970us       0.000us         0.00%     139.604us       1.745us           0 B           0 B     -20.00 MB     -40.02 MB            80  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.564s
Self CUDA time total: 2.292s
