-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             FusedChunkFunctionBackward         0.87%      14.080ms         0.95%      15.433ms     385.830us      56.430ms         5.56%      56.430ms       1.411ms           0 B           0 B       7.50 GB           0 B            40  
                                     FusedChunkFunction         0.75%      12.146ms         0.86%      13.975ms     349.368us      14.387ms         1.42%      14.387ms     359.665us           0 B           0 B       2.50 GB           0 B            40  
                                      LayerNormFunction         0.66%      10.605ms         0.86%      13.939ms     348.487us       6.423ms         0.63%       6.423ms     160.569us           0 B           0 B       2.58 GB           0 B            40  
      autograd::engine::evaluate_function: MulBackward0         0.05%     889.172us         0.80%      12.922ms     161.521us       0.000us         0.00%      38.254ms     478.178us           0 B           0 B      -5.00 GB     -15.00 GB            80  
                                            aten::addmm         0.42%       6.780ms         0.75%      12.126ms      50.526us     109.907ms        10.82%     130.311ms     542.963us           0 B           0 B      22.50 GB      22.50 GB           240  
                                           MulBackward0         0.03%     442.635us         0.74%      12.032ms     150.406us       0.000us         0.00%      38.254ms     478.178us           0 B           0 B      10.00 GB           0 B            80  
                                                aten::t         0.31%       4.939ms         0.68%      10.958ms       5.345us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2050  
autograd::engine::evaluate_function: NativeDropoutBa...         0.04%     577.446us         0.54%       8.792ms      97.684us       0.000us         0.00%      41.612ms     462.355us           0 B           0 B      -4.06 GB     -17.19 GB            90  
                                 NativeDropoutBackward0         0.02%     261.281us         0.51%       8.214ms      91.268us       0.000us         0.00%      41.612ms     462.355us           0 B           0 B      13.12 GB           0 B            90  
autograd::engine::evaluate_function: torch::autograd...         0.22%       3.604ms         0.50%       8.120ms       9.124us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           890  
                          aten::native_dropout_backward         0.05%     836.652us         0.49%       7.953ms      88.365us      41.612ms         4.10%      41.612ms     462.355us           0 B           0 B      13.12 GB           0 B            90  
                                          aten::reshape         0.21%       3.415ms         0.45%       7.208ms       4.143us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1740  
                                        aten::transpose         0.26%       4.284ms         0.37%       6.019ms       2.936us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2050  
                                    aten::empty_strided         0.37%       5.932ms         0.37%       5.932ms       4.494us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      32.26 GB      32.26 GB          1320  
                                    aten::_foreach_sqrt         0.12%       1.878ms         0.35%       5.637ms     563.683us     415.419us         0.04%     415.419us      41.542us           0 B           0 B      76.93 MB           0 B            10  
                                          aten::dropout         0.02%     247.387us         0.35%       5.580ms      62.000us       0.000us         0.00%      53.276ms     591.955us           0 B           0 B      19.69 GB           0 B            90  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.617s
Self CUDA time total: 1.016s
